current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Logging to logs/A3C_20260329-162852
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 3 | Episode 1000 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0879 | Critic Loss: 0.0804 | Sigma: 0.3111
Worker 1 | Episode 1010 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0989 | Critic Loss: 0.0735 | Sigma: 0.3111
Worker 4 | Episode 1020 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.2265 | Critic Loss: 0.0654 | Sigma: 0.3112
Worker 0 | Episode 1030 | Reward: 0.00 | Avg: 0.60 | Actor Loss: -0.3207 | Critic Loss: 0.0629 | Sigma: 0.3112
Worker 4 | Episode 1040 | Reward: 1.00 | Avg: 0.40 | Actor Loss: 0.0503 | Critic Loss: 0.3120 | Sigma: 0.3110
Worker 1 | Episode 1050 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.3666 | Critic Loss: 0.0944 | Sigma: 0.3109
Worker 5 | Episode 1060 | Reward: 1.00 | Avg: 0.40 | Actor Loss: 0.2766 | Critic Loss: 0.3188 | Sigma: 0.3110
Worker 3 | Episode 1070 | Reward: 1.00 | Avg: 0.40 | Actor Loss: -0.0187 | Critic Loss: 0.3380 | Sigma: 0.3110
Worker 2 | Episode 1080 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.3489 | Critic Loss: 0.3125 | Sigma: 0.3110
Worker 3 | Episode 1090 | Reward: 1.00 | Avg: 0.20 | Actor Loss: 0.3061 | Critic Loss: 0.3455 | Sigma: 0.3110
Worker 5 | Episode 1100 | Reward: 1.00 | Avg: 0.60 | Actor Loss: -0.0960 | Critic Loss: 0.3262 | Sigma: 0.3110
Worker 4 | Episode 1110 | Reward: 0.00 | Avg: 0.40 | Actor Loss: 0.0458 | Critic Loss: 0.0858 | Sigma: 0.3109
Worker 5 | Episode 1120 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.0786 | Critic Loss: 0.1073 | Sigma: 0.3107
Worker 5 | Episode 1130 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0848 | Critic Loss: 0.1133 | Sigma: 0.3107
Worker 4 | Episode 1140 | Reward: 1.00 | Avg: 0.50 | Actor Loss: 0.0135 | Critic Loss: 0.3198 | Sigma: 0.3109
Worker 2 | Episode 1150 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.2523 | Critic Loss: 0.3288 | Sigma: 0.3109
Worker 3 | Episode 1160 | Reward: 0.00 | Avg: 0.30 | Actor Loss: 0.0965 | Critic Loss: 0.0724 | Sigma: 0.3109
Worker 3 | Episode 1170 | Reward: 0.00 | Avg: 0.30 | Actor Loss: 0.0170 | Critic Loss: 0.0711 | Sigma: 0.3109
Worker 2 | Episode 1180 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.1397 | Critic Loss: 0.0742 | Sigma: 0.3109
Worker 1 | Episode 1190 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.1092 | Critic Loss: 0.0706 | Sigma: 0.3109
Worker 3 | Episode 1200 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0473 | Critic Loss: 0.0726 | Sigma: 0.3109
Worker 4 | Episode 1210 | Reward: 1.00 | Avg: 0.60 | Actor Loss: 0.1103 | Critic Loss: 0.3282 | Sigma: 0.3108
Worker 3 | Episode 1220 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.2234 | Critic Loss: 0.1079 | Sigma: 0.3107
Worker 3 | Episode 1230 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0696 | Critic Loss: 0.0991 | Sigma: 0.3107
Worker 1 | Episode 1240 | Reward: 1.00 | Avg: 0.20 | Actor Loss: -0.0643 | Critic Loss: 0.3209 | Sigma: 0.3108
Worker 1 | Episode 1250 | Reward: 0.00 | Avg: 0.50 | Actor Loss: 0.0315 | Critic Loss: 0.0866 | Sigma: 0.3108
Worker 0 | Episode 1260 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0150 | Critic Loss: 0.0844 | Sigma: 0.3109
Worker 4 | Episode 1270 | Reward: 1.00 | Avg: 0.20 | Actor Loss: 0.1347 | Critic Loss: 0.3340 | Sigma: 0.3110
Worker 2 | Episode 1280 | Reward: 0.00 | Avg: 0.40 | Actor Loss: 0.0453 | Critic Loss: 0.0705 | Sigma: 0.3111
Worker 3 | Episode 1290 | Reward: 1.00 | Avg: 0.50 | Actor Loss: 0.2526 | Critic Loss: 0.3367 | Sigma: 0.3111
Worker 5 | Episode 1300 | Reward: 1.00 | Avg: 0.20 | Actor Loss: 0.3779 | Critic Loss: 0.3153 | Sigma: 0.3110
Worker 2 | Episode 1310 | Reward: 1.00 | Avg: 0.20 | Actor Loss: 0.1573 | Critic Loss: 0.3371 | Sigma: 0.3111
Worker 5 | Episode 1320 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.0252 | Critic Loss: 0.3757 | Sigma: 0.3113
Worker 5 | Episode 1330 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.1176 | Critic Loss: 0.0610 | Sigma: 0.3112
Worker 2 | Episode 1340 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.2730 | Critic Loss: 0.0683 | Sigma: 0.3112
Worker 1 | Episode 1350 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.1924 | Critic Loss: 0.3667 | Sigma: 0.3112
Worker 5 | Episode 1360 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.2917 | Critic Loss: 0.3533 | Sigma: 0.3112
Worker 3 | Episode 1370 | Reward: 1.00 | Avg: 0.40 | Actor Loss: -0.0385 | Critic Loss: 0.3870 | Sigma: 0.3112
Worker 4 | Episode 1380 | Reward: 0.00 | Avg: 0.60 | Actor Loss: -0.0401 | Critic Loss: 0.0645 | Sigma: 0.3111
Worker 5 | Episode 1390 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.1826 | Critic Loss: 0.1047 | Sigma: 0.3108
Worker 2 | Episode 1400 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0384 | Critic Loss: 0.0982 | Sigma: 0.3108
Worker 1 | Episode 1410 | Reward: 1.00 | Avg: 0.40 | Actor Loss: -0.0757 | Critic Loss: 0.3231 | Sigma: 0.3109
Worker 3 | Episode 1420 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0438 | Critic Loss: 0.0722 | Sigma: 0.3110
Worker 3 | Episode 1430 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0785 | Critic Loss: 0.0675 | Sigma: 0.3110
Worker 1 | Episode 1440 | Reward: 1.00 | Avg: 0.40 | Actor Loss: 0.0093 | Critic Loss: 0.3860 | Sigma: 0.3112
Worker 1 | Episode 1450 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.0027 | Critic Loss: 0.3790 | Sigma: 0.3113
Worker 0 | Episode 1460 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0807 | Critic Loss: 0.0569 | Sigma: 0.3112
Worker 3 | Episode 1470 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0621 | Critic Loss: 0.0632 | Sigma: 0.3111
Worker 0 | Episode 1480 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.1308 | Critic Loss: 0.0614 | Sigma: 0.3112
Worker 4 | Episode 1490 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.3393 | Critic Loss: 0.3690 | Sigma: 0.3112
Worker 4 | Episode 1500 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.1781 | Critic Loss: 0.0593 | Sigma: 0.3112
Worker 5 | Episode 1510 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.3100 | Critic Loss: 0.3785 | Sigma: 0.3113
Worker 0 | Episode 1520 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0707 | Critic Loss: 0.0529 | Sigma: 0.3113
Worker 3 | Episode 1530 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0993 | Critic Loss: 0.0462 | Sigma: 0.3114
Worker 2 | Episode 1540 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.0048 | Critic Loss: 0.0339 | Sigma: 0.3116
Worker 3 | Episode 1550 | Reward: 1.00 | Avg: 0.50 | Actor Loss: 0.0630 | Critic Loss: 0.4503 | Sigma: 0.3117
Worker 5 | Episode 1560 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0647 | Critic Loss: 0.0387 | Sigma: 0.3115
Worker 4 | Episode 1570 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.1174 | Critic Loss: 0.0470 | Sigma: 0.3114
Worker 3 | Episode 1580 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.1531 | Critic Loss: 0.0461 | Sigma: 0.3114
Worker 1 | Episode 1590 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0733 | Critic Loss: 0.0454 | Sigma: 0.3114
Worker 2 | Episode 1600 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0081 | Critic Loss: 0.0415 | Sigma: 0.3115
Worker 3 | Episode 1610 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0146 | Critic Loss: 0.0419 | Sigma: 0.3115
Worker 0 | Episode 1620 | Reward: 1.00 | Avg: 0.50 | Actor Loss: 0.2244 | Critic Loss: 0.4125 | Sigma: 0.3115
Worker 5 | Episode 1630 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.3623 | Critic Loss: 0.0532 | Sigma: 0.3113
Worker 3 | Episode 1640 | Reward: 1.00 | Avg: 0.40 | Actor Loss: 0.3282 | Critic Loss: 0.3653 | Sigma: 0.3113
Worker 2 | Episode 1650 | Reward: 1.00 | Avg: 0.50 | Actor Loss: -0.0240 | Critic Loss: 0.3486 | Sigma: 0.3111
Worker 4 | Episode 1660 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.1720 | Critic Loss: 0.0938 | Sigma: 0.3109
Worker 4 | Episode 1670 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0375 | Critic Loss: 0.1059 | Sigma: 0.3108
Worker 3 | Episode 1680 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.3619 | Critic Loss: 0.0928 | Sigma: 0.3109
Worker 3 | Episode 1690 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.1619 | Critic Loss: 0.0745 | Sigma: 0.3111
Worker 4 | Episode 1700 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.2369 | Critic Loss: 0.3777 | Sigma: 0.3113
Worker 5 | Episode 1710 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0058 | Critic Loss: 0.0602 | Sigma: 0.3113
Worker 2 | Episode 1720 | Reward: 0.00 | Avg: 0.10 | Actor Loss: -0.2404 | Critic Loss: 0.0610 | Sigma: 0.3114
Worker 3 | Episode 1730 | Reward: 1.00 | Avg: 0.40 | Actor Loss: 0.3798 | Critic Loss: 0.3793 | Sigma: 0.3115
Worker 1 | Episode 1740 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0461 | Critic Loss: 0.0530 | Sigma: 0.3115
Worker 0 | Episode 1750 | Reward: 0.00 | Avg: 0.60 | Actor Loss: -0.1570 | Critic Loss: 0.0660 | Sigma: 0.3113
Worker 2 | Episode 1760 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.1961 | Critic Loss: 0.0850 | Sigma: 0.3111
Worker 4 | Episode 1770 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.1726 | Critic Loss: 0.1367 | Sigma: 0.3110
Worker 1 | Episode 1780 | Reward: 0.00 | Avg: 0.00 | Actor Loss: -0.3826 | Critic Loss: 0.0798 | Sigma: 0.3111
Worker 3 | Episode 1790 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.2315 | Critic Loss: 0.4048 | Sigma: 0.3113
